                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1113,                0.99056,                0.93189,                0.86245,                0.86468,                0.92575,                0.62274,                 1.0904,                0.68332,                0.94532,             0.00055482,             0.00055482,             0.00055482
                      2,                0.92013,                0.53214,                0.87268,                0.88624,                0.88375,                0.94324,                0.65693,                 1.0301,                0.59242,                0.93437,              0.0010738,              0.0010738,              0.0010738
                      3,                 0.8937,                0.49152,                0.86807,                0.87981,                0.90345,                0.95062,                0.65675,                 1.0391,                 0.5706,                0.93976,              0.0015562,              0.0015562,              0.0015562
                      4,                0.87144,                0.46687,                0.86368,                0.88668,                0.88872,                0.94992,                0.65775,                 1.0584,                0.56702,                0.94685,               0.001502,               0.001502,               0.001502
                      5,                0.84947,                0.45248,                0.85857,                0.88848,                0.90379,                0.95584,                0.68981,                 0.9821,                0.53308,                0.92925,               0.001447,               0.001447,               0.001447
                      6,                0.83541,                0.43668,                0.85612,                0.89349,                0.89121,                0.95589,                0.68861,                 1.0021,                0.53078,                0.93389,              0.0013919,              0.0013919,              0.0013919
                      7,                0.82516,                0.42861,                0.85447,                0.89735,                0.89861,                0.95912,                0.69202,                 0.9791,                0.51337,                0.92575,              0.0013369,              0.0013369,              0.0013369
                      8,                0.81334,                0.41894,                0.85196,                0.88914,                0.89663,                0.95559,                0.69039,                0.97869,                 0.5277,                0.92688,              0.0012819,              0.0012819,              0.0012819
                      9,                 0.8053,                0.41307,                0.85077,                0.88815,                0.90947,                0.95948,                0.69727,                  0.961,                0.50054,                0.91714,              0.0012269,              0.0012269,              0.0012269
                     10,                0.79718,                0.40781,                0.84887,                0.89743,                0.90153,                0.95985,                0.70435,                0.94996,                0.49491,                0.91789,              0.0011719,              0.0011719,              0.0011719
                     11,                 0.7932,                0.40215,                0.84731,                0.89895,                0.90096,                0.95971,                0.70195,                0.96195,                0.49351,                0.92363,              0.0011169,              0.0011169,              0.0011169
                     12,                0.78587,                0.39681,                0.84687,                0.90216,                0.90479,                0.96202,                0.71193,                0.93586,                0.47641,                0.91274,              0.0010619,              0.0010619,              0.0010619
                     13,                0.77855,                0.39319,                 0.8455,                0.90825,                0.90022,                0.96309,                0.71412,                 0.9154,                0.46931,                 0.9087,              0.0010069,              0.0010069,              0.0010069
                     14,                0.77262,                0.38901,                0.84507,                0.91146,                0.89668,                0.96323,                0.71234,                0.92412,                 0.4759,                0.90923,             0.00095186,             0.00095186,             0.00095186
                     15,                0.77021,                0.38655,                0.84439,                0.91525,                0.90055,                0.96505,                0.71895,                0.91449,                0.45686,                0.90877,             0.00089685,             0.00089685,             0.00089685
                     16,                 0.7649,                0.38228,                0.84422,                0.91474,                0.89636,                0.96415,                0.71482,                0.93207,                0.47175,                0.91259,             0.00084184,             0.00084184,             0.00084184
                     17,                0.76238,                0.38072,                0.84288,                0.90215,                0.91461,                 0.9644,                0.72361,                0.89866,                0.45386,                 0.9039,             0.00078682,             0.00078682,             0.00078682
                     18,                0.75429,                0.37509,                0.84218,                0.89493,                0.91357,                0.96474,                0.72401,                0.90172,                0.45353,                0.90571,             0.00073181,             0.00073181,             0.00073181
                     19,                0.75235,                0.37203,                0.84164,                 0.9043,                0.91029,                0.96626,                 0.7298,                0.89128,                 0.4507,                0.90273,              0.0006768,              0.0006768,              0.0006768
                     20,                0.74824,                0.36974,                0.84054,                0.90775,                0.91004,                0.96564,                0.72321,                0.89909,                0.45473,                0.90297,             0.00062179,             0.00062179,             0.00062179
                     21,                0.73256,                 0.3573,                0.83935,                0.91329,                0.90157,                 0.9659,                0.72811,                0.89961,                0.45129,                0.90571,             0.00056678,             0.00056678,             0.00056678
                     22,                0.72035,                0.34944,                0.83744,                 0.9048,                0.91316,                0.96453,                0.72703,                0.89654,                0.45217,                0.90269,             0.00051177,             0.00051177,             0.00051177
                     23,                0.71497,                0.34626,                 0.8361,                0.91382,                0.90573,                0.96835,                0.73047,                0.89762,                0.44065,                0.90309,             0.00045676,             0.00045676,             0.00045676
                     24,                0.71001,                0.34124,                0.83556,                0.90555,                0.91506,                0.96685,                0.73512,                0.87995,                0.43733,                0.90036,             0.00040175,             0.00040175,             0.00040175
                     25,                0.70562,                0.33825,                0.83493,                0.90399,                0.91548,                0.96662,                 0.7345,                0.88338,                0.44342,                0.90081,             0.00034674,             0.00034674,             0.00034674
                     26,                0.69925,                0.33413,                0.83359,                0.90391,                0.92016,                0.96691,                 0.7389,                0.87393,                0.43383,                0.89764,             0.00029172,             0.00029172,             0.00029172
                     27,                 0.6949,                0.33039,                0.83361,                0.90029,                0.92248,                0.96798,                0.74041,                0.86587,                0.42951,                 0.8964,             0.00023671,             0.00023671,             0.00023671
                     28,                0.69059,                0.32777,                0.83276,                0.90883,                0.91171,                0.96693,                0.73703,                0.87743,                0.43238,                 0.9012,              0.0001817,              0.0001817,              0.0001817
                     29,                 0.6868,                0.32422,                0.83176,                 0.9011,                0.92341,                0.96883,                0.74202,                0.86674,                0.42513,                0.89594,             0.00012669,             0.00012669,             0.00012669
                     30,                0.68237,                0.32128,                0.83045,                0.90317,                0.91867,                0.96823,                0.74162,                0.86323,                0.42382,                0.89602,             7.1681e-05,             7.1681e-05,             7.1681e-05
